,Источник,Дата,Заголовок,Текст
0,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F01\u002F884770-esg-perevode-russkii,2021-09-02,ESG в переводе на русский,Бизнес и регуляторы встраивают ESG-тематику в повседневную практику. Пока Россия пытается освоить зарубежный опыт и догнать Европу
1,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F01\u002F884775-promishlennost-uglerodnii,2021-09-02,Промышленность сокращает углеродный след,"ТМК инвестирует 2,9 млрд руб. в сокращение выбросов CO2 на 8% к концу 2023 г. Это подтвердит статус ТМК как ответственного участника рынка, приверженного принципам ESG"
2,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F01\u002F884776-esg-igri,2021-09-02,ESG нужны правила игры,Российскому бизнесу в ESG-сегменте не хватает стандартов и нормативов
3,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F02\u002F884777-zelenii-sbera,2021-09-02,Зеленый микроклимат Сбера,От бизнеса ждут серьезных шагов по декарбонизации своей деятельности
4,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F02\u002F884778-dengi-zelenih-tonah,2021-09-02,Деньги в зеленых тонах,Сбербанк к середине 2021 г. выдал уже около 75 млрд руб. зеленых кредитов
5,\u002Fecology\u002Farticles\u002F2021\u002F09\u002F02\u002F884779-premialnaya-bezuglerodnost,2021-09-02,Премиальная безуглеродность,«Норникель» начал выпускать углеродно-нейтральный металл. Компания намерена продавать его с премией и через блокчейн-платформу
6,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F02\u002F872600-zelenaya-beskonechnaya,2021-06-03,Зеленая и бесконечная,"Ученые мечтают о технологиях, которые позволили бы удовлетворить все энергетические потребности планеты с учетом интересов экологов. «Ведомости. Экология» изучила три направления энергетики, которые могут изменить все"
7,\u002Fecology\u002Fcharacters\u002F2021\u002F06\u002F02\u002F872605-sergei-chikalov,2021-06-03,Сергей Чикалов: «ТМК уже создает новые материалы для водородной энергетики»,Заместитель гендиректора Трубной металлургической компании (ТМК) по научно-техническому развитию и техническим продажам о готовности компании развивать водородную экономику России
8,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F02\u002F872606-dishat-grudyu,2021-06-03,Дышать полной «грудью»,С изменением экологической политики городских властей качество воздуха в Москве значительно улучшилось. Столица всерьез заинтересована в новых экологических проектах
9,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F02\u002F872608-uberi-soboi,2021-06-03,По принципу «убери за собой»,Обязанность предприятий минимизировать экологический ущерб будет закреплена законодательно. Московская промышленность уже переходит на зеленые рельсы
10,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F03\u002F872610-deistvitelnoe-zhelaemoe,2021-06-03,Действительное на желаемое,"В мире сформировался тренд на максимальную переработку мусора и снижение производства неперерабатываемых отходов. «Ведомости. Экология» изучила, как вторичная переработка отходов развивается в Москве"
11,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F03\u002F872611-territoriya-zelenogo,2021-06-03,Территория зеленого будущего,"Почти 2000 га московских промзон превратятся в новые современные производства, жилые кварталы и места отдыха. «Ведомости. Экология» изучила ход реализации столичного проекта «Индустриальные кварталы»"
12,\u002Fecology\u002Farticles\u002F2021\u002F06\u002F03\u002F872612-zelenie-investitsii,2021-06-03,Зеленые инвестиции,Акция «Cад памяти» объединила лидеров ESG-повестки – вместе они внесли весомый вклад в высадку 27 млн деревьев в память о каждом погибшем в годы Великой Отечественной войны
